14.5924 	WARNING 	Requested an unavailable screen number - using first available.
20.8304 	EXP 	reminder: autoDraw = False
20.8304 	EXP 	feedback_rt: height = 0.12
20.8304 	EXP 	feedback_rt: height = 0.12
20.8304 	EXP 	feedback_rt: height = 0.12
20.8304 	EXP 	feedback_rt: text = 'Tempo de Reação: 273 ms'
20.8304 	EXP 	feedback_rt: autoDraw = True
21.8152 	EXP 	New trial (rep=0, index=7): {'cue': 'images/arrow_left.png', 'target_x': -0.55, 'is_valid': 1, 'corr': 'left'}
21.8307 	EXP 	feedback_rt: autoDraw = False
21.8307 	EXP 	feedback_rt: autoDraw = False
21.8307 	EXP 	cue_stim: ori = 0.0
21.8307 	EXP 	cue_stim: image = 'images/arrow_left.png'
21.8307 	EXP 	fixation: autoDraw = True
22.6304 	EXP 	fixation: autoDraw = False
22.6304 	EXP 	cue_stim: autoDraw = True
22.8302 	EXP 	cue_stim: autoDraw = False
22.8302 	EXP 	target_stim: autoDraw = True
23.0901 	DATA 	Keypress: left
23.0970 	EXP 	fixation: autoDraw = False
23.0970 	EXP 	cue_stim: autoDraw = False
23.0970 	EXP 	target_stim: autoDraw = False
23.0970 	EXP 	reminder: autoDraw = False
23.0970 	EXP 	feedback_rt: height = 0.12
23.0970 	EXP 	feedback_rt: height = 0.12
23.0970 	EXP 	feedback_rt: height = 0.12
23.0970 	EXP 	feedback_rt: text = 'Tempo de Reação: 246 ms'
23.0970 	EXP 	feedback_rt: autoDraw = True
24.0814 	EXP 	New trial (rep=0, index=8): {'cue': 'images/arrow_right.png', 'target_x': 0.55, 'is_valid': 1, 'corr': 'right'}
24.0978 	EXP 	feedback_rt: autoDraw = False
24.0978 	EXP 	feedback_rt: autoDraw = False
24.0978 	EXP 	cue_stim: ori = 0.0
24.0978 	EXP 	cue_stim: image = 'images/arrow_right.png'
24.0978 	EXP 	fixation: autoDraw = True
24.8967 	EXP 	cue_stim: autoDraw = True
24.9132 	EXP 	fixation: autoDraw = False
25.0970 	EXP 	cue_stim: autoDraw = False
25.0970 	EXP 	target_stim: autoDraw = True
25.3326 	DATA 	Keypress: right
25.3633 	EXP 	fixation: autoDraw = False
25.3633 	EXP 	cue_stim: autoDraw = False
25.3633 	EXP 	target_stim: autoDraw = False
25.3633 	EXP 	reminder: autoDraw = False
25.3633 	EXP 	feedback_rt: height = 0.12
25.3633 	EXP 	feedback_rt: height = 0.12
25.3633 	EXP 	feedback_rt: height = 0.12
25.3633 	EXP 	feedback_rt: text = 'Tempo de Reação: 234 ms'
25.3633 	EXP 	feedback_rt: autoDraw = True
26.3474 	EXP 	New trial (rep=0, index=9): {'cue': 'images/arrow_left.png', 'target_x': -0.55, 'is_valid': 1, 'corr': 'left'}
26.3633 	EXP 	feedback_rt: autoDraw = False
26.3633 	EXP 	feedback_rt: autoDraw = False
26.3633 	EXP 	cue_stim: ori = 0.0
26.3633 	EXP 	cue_stim: image = 'images/arrow_left.png'
26.3633 	EXP 	fixation: autoDraw = True
27.1638 	EXP 	fixation: autoDraw = False
