cue,target_x,is_valid,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,instr_msg.started,instr_resp.started,instruction.stopped,trial.started,fixation.started,cue_stim.started,fixation.stopped,target_stim.started,resp.started,cue_stim.stopped,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback_rt.started,feedback.stopped,feedback_rt.stopped,finish.started,valid_mean,invalid_mean,neutral_mean,thanks_msg.started,thanks_resp.started,finish.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/arrow_left.png,-0.55,1,left,0,9,9,1,26.363281900063157,,,,,,26.3474615002051,26.363281900063157,27.163769000209868,27.163769000209868,27.363455600105226,27.363455600105226,27.363455600105226,27.581203300040215,left,1,0.20877799997106194,None,27.58155129989609,27.596912799868733,28.580609700176865,28.59654390020296,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/no_arrow.png,-0.55,0,left,0,10,10,10,28.59654390020296,,,,,,28.580899400170892,28.59654390020296,29.396954500116408,29.396954500116408,29.597097400110215,29.597097400110215,29.597097400110215,29.84840659983456,left,1,0.24766580015420914,None,29.848947999998927,29.863387600053102,30.847976500168443,30.863774000201374,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,0,11,11,8,30.863774000201374,,,,,,30.848333599977195,30.863774000201374,31.663821999914944,31.663821999914944,31.863725299946964,31.863725299946964,31.863725299946964,32.081416700035334,right,1,0.20386709971353412,None,32.08184849983081,32.09719190001488,33.080940700136125,33.096700499765575,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,1,0,12,2,33.096700499765575,,,,,,33.08123350003734,33.096700499765575,33.89697299990803,33.89697299990803,34.09687659982592,34.09687659982592,34.09687659982592,34.366577699780464,left,1,0.26691289991140366,None,34.366901400033385,34.38001220021397,35.3640304999426,35.379960500169545,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,0.55,-1,right,1,1,13,4,35.379960500169545,,,,,,35.36451209988445,35.379960500169545,36.18008070020005,36.18008070020005,36.379933500196785,36.379933500196785,36.379933500196785,36.69792639976367,right,1,0.31305050011724234,None,36.69824009994045,36.71299229981378,37.69754069996998,37.714098799973726,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/no_arrow.png,0.55,0,right,1,2,14,11,37.714098799973726,,,,,,37.69795330008492,37.714098799973726,38.51321539981291,38.52961769979447,38.7130669998005,38.7130669998005,38.7130669998005,39.01447820011526,right,1,0.29950399976223707,None,39.01478839991614,39.02956259995699,40.013933199923486,40.03046899987385,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,1,3,15,5,40.03046899987385,,,,,,40.01422769995406,40.03046899987385,40.82988889981061,40.82988889981061,41.03005520021543,41.03005520021543,41.03005520021543,41.28108929982409,right,1,0.23798099998384714,None,41.281401299871504,41.296587800141424,42.28041920019314,42.29651780007407,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,1,4,16,8,42.29651780007407,,,,,,42.28081460017711,42.29651780007407,43.09669469995424,43.09669469995424,43.29631550004706,43.29631550004706,43.29631550004706,43.53100140020251,right,1,0.2197885001078248,None,43.53146219998598,43.54636469995603,44.53016269998625,44.5461172000505,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,-0.55,-1,left,1,5,17,9,44.5461172000505,,,,,,44.530537500046194,44.5461172000505,45.34652560018003,45.34652560018003,45.546219300013036,45.546219300013036,45.546219300013036,45.88047380000353,left,1,0.33085629995912313,None,45.8809462999925,45.89581249980256,46.88017089990899,46.895889999810606,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,0.55,-1,right,1,6,18,4,46.895889999810606,,,,,,46.880558600183576,46.895889999810606,47.696464399807155,47.696464399807155,47.89647290017456,47.89647290017456,47.89647290017456,48.19794250000268,right,1,0.2912718001753092,None,48.198760100174695,48.212435599882156,49.19690900016576,49.213022199925035,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
