English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,cue_final.started,target_final.started,key_final.started,participant,session,date,expName,psychopyVersion,frameRate,
tea,chá,saiyu,1,0,1,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
cliff,penhasco,ikpik,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
duck,pato,mitiq,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
rainbow,arco-íris,nigaq,1,0,1,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
sled,trenó,uniat,1,0,1,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
kidney,rim,taqtu,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
dust,pó,apyuq,1,0,1,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
heaven,paraíso,qixak,1,0,1,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
mark,marca,aglak,1,0,1,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
thread,fio,ivalu,1,0,1,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
boot,bota,kamik,1,0,1,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
snail,lesma,uvixu,1,0,1,0,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
tea,chá,saiyu,2,0,2,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
cliff,penhasco,ikpik,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
duck,pato,mitiq,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
rainbow,arco-íris,nigaq,2,0,2,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
sled,trenó,uniat,2,0,2,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
kidney,rim,taqtu,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
dust,pó,apyuq,2,0,2,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
heaven,paraíso,qixak,2,0,2,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
mark,marca,aglak,2,0,2,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
thread,fio,ivalu,2,0,2,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
boot,bota,kamik,2,0,2,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
snail,lesma,uvixu,2,0,2,0,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,20.856987499999377,20.856987499999377,20.856987499999377,20.856987499999377,space,4.279779400000734,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,25.17335869999988,25.17335869999988,25.17335869999988,25.17335869999988,space,4.216261300000042,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,29.423213000000032,29.423213000000032,29.423213000000032,29.423213000000032,space,1.8362176000000545,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
sled,trenó,uniat,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,31.29399419999936,31.29399419999936,31.29399419999936,31.29399419999936,space,1.3857527000000118,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
mark,marca,aglak,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,32.723110999999335,32.723110999999335,32.723110999999335,32.723110999999335,space,4.696344200000567,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
boot,bota,kamik,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,1,,,,,,,,,37.45620669999971,37.45620669999971,37.45620669999971,37.45620669999971,space,9.80406480000056,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,4,,,,,,,,,47.30709949999982,47.30709949999982,47.30709949999982,47.30709949999982,space,1.5582283000003372,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,2,,,,,,,,,48.890496499999244,48.890496499999244,48.890496499999244,48.890496499999244,space,0.9569318000003477,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,5,,,,,,,,,49.88873179999973,49.88873179999973,49.88873179999973,49.88873179999973,space,0.7862635999999839,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
sled,trenó,uniat,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,0,,,,,,,,,50.72223699999995,50.72223699999995,50.72223699999995,50.72223699999995,space,0.6940107000000353,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
mark,marca,aglak,,,,,,,,,0,0,0,0,1,0,1,0,0,4,4,3,,,,,,,,,51.45703169999979,51.45703169999979,51.45703169999979,51.45703169999979,space,0.7010730000001786,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
boot,bota,kamik,,,,,,,,,0,0,0,0,1,0,1,0,0,5,5,1,,,,,,,,,52.18885489999957,52.18885489999957,52.18885489999957,52.18885489999957,space,8.733020900000156,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,4,,,,,,,,,60.9550107999994,60.9550107999994,60.9550107999994,60.9550107999994,space,0.9396548000004259,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,2,0,2,0,0,1,1,2,,,,,,,,,61.93825639999977,61.93825639999977,61.93825639999977,61.93825639999977,space,0.9826296000010188,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,2,0,2,0,0,2,2,5,,,,,,,,,62.9550279999994,62.9550279999994,62.9550279999994,62.9550279999994,space,1.1680065999998988,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
sled,trenó,uniat,,,,,,,,,0,0,0,0,2,0,2,0,0,3,3,0,,,,,,,,,64.15503379999973,64.15503379999973,64.15503379999973,64.15503379999973,space,1.0451560000001336,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
mark,marca,aglak,,,,,,,,,0,0,0,0,2,0,2,0,0,4,4,3,,,,,,,,,65.23987289999968,65.23987289999968,65.23987289999968,65.23987289999968,space,0.40514710000024934,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
boot,bota,kamik,,,,,,,,,0,0,0,0,2,0,2,0,0,5,5,1,,,,,,,,,65.68823840000005,65.68823840000005,65.68823840000005,65.68823840000005,space,6.286698600000818,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,3,0,3,0,0,0,0,4,,,,,,,,,72.02102829999967,72.02102829999967,72.02102829999967,72.02102829999967,space,0.814772400000038,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,3,0,3,0,0,1,1,2,,,,,,,,,72.87126329999955,72.87126329999955,72.87126329999955,72.87126329999955,space,0.8009314000000813,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,3,0,3,0,0,2,2,5,,,,,,,,,73.69161609999992,73.69161609999992,73.69161609999992,73.69161609999992,space,0.5992476000010356,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
sled,trenó,uniat,,,,,,,,,0,0,0,0,3,0,3,0,0,3,3,0,,,,,,,,,74.33785549999993,74.33785549999993,74.33785549999993,74.33785549999993,space,0.4988916000002064,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
mark,marca,aglak,,,,,,,,,0,0,0,0,3,0,3,0,0,4,4,3,,,,,,,,,74.87113539999973,74.87113539999973,74.87113539999973,74.87113539999973,space,0.7221728000004077,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
boot,bota,kamik,,,,,,,,,0,0,0,0,3,0,3,0,0,5,5,1,,,,,,,,,75.6377978999999,75.6377978999999,75.6377978999999,75.6377978999999,space,0.7826426000001447,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,4,0,4,0,0,0,0,4,,,,,,,,,76.45637799999986,76.45637799999986,76.45637799999986,76.45637799999986,space,0.494242500000837,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,4,0,4,0,0,1,1,2,,,,,,,,,76.98779409999952,76.98779409999952,76.98779409999952,76.98779409999952,space,0.5569181999999273,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,4,0,4,0,0,2,2,5,,,,,,,,,77.58774569999969,77.58774569999969,77.58774569999969,77.58774569999969,space,0.5175537000004624,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
sled,trenó,uniat,,,,,,,,,0,0,0,0,4,0,4,0,0,3,3,0,,,,,,,,,78.1383737999995,78.1383737999995,78.1383737999995,78.1383737999995,space,0.5253278000009232,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
mark,marca,aglak,,,,,,,,,0,0,0,0,4,0,4,0,0,4,4,3,,,,,,,,,78.70445879999988,78.70445879999988,78.70445879999988,78.70445879999988,space,0.5186538000007204,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
boot,bota,kamik,,,,,,,,,0,0,0,0,4,0,4,0,0,5,5,1,,,,,,,,,79.25427949999994,79.25427949999994,79.25427949999994,79.25427949999994,space,1.9573944000003394,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,4,,,,,,,,,81.2545240999998,81.2545240999998,81.2545240999998,81.2545240999998,space,0.675976599999558,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,5,0,5,0,0,1,1,2,,,,,,,,,81.97072819999994,81.97072819999994,81.97072819999994,81.97072819999994,space,0.750068100000135,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,5,0,5,0,0,2,2,5,,,,,,,,,82.7540240999997,82.7540240999997,82.7540240999997,82.7540240999997,space,0.5557038000006287,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
sled,trenó,uniat,,,,,,,,,0,0,0,0,5,0,5,0,0,3,3,0,,,,,,,,,83.35396439999931,83.35396439999931,83.35396439999931,83.35396439999931,space,0.813788299999942,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
mark,marca,aglak,,,,,,,,,0,0,0,0,5,0,5,0,0,4,4,3,,,,,,,,,84.20421449999958,84.20421449999958,84.20421449999958,84.20421449999958,space,0.6772148000000016,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
boot,bota,kamik,,,,,,,,,0,0,0,0,5,0,5,0,0,5,5,1,,,,,,,,,84.92066199999954,84.92066199999954,84.92066199999954,84.92066199999954,space,8.438488200000393,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
duck,pato,mitiq,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,4,,,,,,,,,93.42020049999974,93.42020049999974,93.42020049999974,93.42020049999974,space,1.2668302000001859,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
thread,fio,ivalu,,,,,,,,,1,0,1,0,0,0,0,0,0,1,1,2,,,,,,,,,94.72006779999992,94.72006779999992,94.72006779999992,94.72006779999992,space,0.8934414000004836,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
dust,pó,apyuq,,,,,,,,,1,0,1,0,0,0,0,0,0,2,2,5,,,,,,,,,95.65376669999932,95.65376669999932,95.65376669999932,95.65376669999932,space,0.8803353000002971,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,0,0,0,0,0,3,3,0,,,,,,,,,96.57009769999968,96.57009769999968,96.57009769999968,96.57009769999968,space,1.6789369000007355,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
tea,chá,saiyu,,,,,,,,,1,0,1,0,0,0,0,0,0,4,4,3,,,,,,,,,98.28673029999936,98.28673029999936,98.28673029999936,98.28673029999936,space,1.0128707000003487,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,0,0,0,0,0,5,5,1,,,,,,,,,99.32287059999999,99.32287059999999,99.32287059999999,99.32287059999999,space,6.138269900000523,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
duck,pato,mitiq,,,,,,,,,1,0,1,0,1,0,1,0,0,0,0,4,,,,,,,,,105.50303899999926,105.50303899999926,105.50303899999926,105.50303899999926,space,0.7283205000003363,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
thread,fio,ivalu,,,,,,,,,1,0,1,0,1,0,1,0,0,1,1,2,,,,,,,,,106.26952949999941,106.26952949999941,106.26952949999941,106.26952949999941,space,0.6806389000003037,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
dust,pó,apyuq,,,,,,,,,1,0,1,0,1,0,1,0,0,2,2,5,,,,,,,,,106.98626829999921,106.98626829999921,106.98626829999921,106.98626829999921,space,0.6587494000004881,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,1,0,1,0,0,3,3,0,,,,,,,,,107.68640159999995,107.68640159999995,107.68640159999995,107.68640159999995,space,0.6626647000002777,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
tea,chá,saiyu,,,,,,,,,1,0,1,0,1,0,1,0,0,4,4,3,,,,,,,,,108.38657819999935,108.38657819999935,108.38657819999935,108.38657819999935,space,0.7418604000004052,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,1,0,1,0,0,5,5,1,,,,,,,,,109.15643920000002,109.15643920000002,109.15643920000002,109.15643920000002,space,0.730912800000624,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
duck,pato,mitiq,,,,,,,,,1,0,1,0,2,0,2,0,0,0,0,4,,,,,,,,,109.91940589999922,109.91940589999922,109.91940589999922,109.91940589999922,space,0.6074315999994724,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
thread,fio,ivalu,,,,,,,,,1,0,1,0,2,0,2,0,0,1,1,2,,,,,,,,,110.56939340000008,110.56939340000008,110.56939340000008,110.56939340000008,space,0.6675615000003745,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
dust,pó,apyuq,,,,,,,,,1,0,1,0,2,0,2,0,0,2,2,5,,,,,,,,,111.26955649999945,111.26955649999945,111.26955649999945,111.26955649999945,space,0.49266239999997197,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,2,0,2,0,0,3,3,0,,,,,,,,,111.80280799999946,111.80280799999946,111.80280799999946,111.80280799999946,space,0.6857942000006005,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
tea,chá,saiyu,,,,,,,,,1,0,1,0,2,0,2,0,0,4,4,3,,,,,,,,,112.52081269999962,112.52081269999962,112.52081269999962,112.52081269999962,space,0.44600290000016685,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,2,0,2,0,0,5,5,1,,,,,,,,,112.98888799999986,112.98888799999986,112.98888799999986,112.98888799999986,space,0.5416512000001603,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
duck,pato,mitiq,,,,,,,,,1,0,1,0,3,0,3,0,0,0,0,4,,,,,,,,,113.56978170000002,113.56978170000002,113.56978170000002,113.56978170000002,space,0.8620680000003631,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
thread,fio,ivalu,,,,,,,,,1,0,1,0,3,0,3,0,0,1,1,2,,,,,,,,,114.45543309999994,114.45543309999994,114.45543309999994,114.45543309999994,space,0.5966349000000264,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
dust,pó,apyuq,,,,,,,,,1,0,1,0,3,0,3,0,0,2,2,5,,,,,,,,,115.08587179999995,115.08587179999995,115.08587179999995,115.08587179999995,space,0.5507891000006566,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,3,0,3,0,0,3,3,0,,,,,,,,,115.67057339999974,115.67057339999974,115.67057339999974,115.67057339999974,space,0.6450961000000461,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
tea,chá,saiyu,,,,,,,,,1,0,1,0,3,0,3,0,0,4,4,3,,,,,,,,,116.35285679999924,116.35285679999924,116.35285679999924,116.35285679999924,space,0.8151145000001634,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,3,0,3,0,0,5,5,1,,,,,,,,,117.18881340000007,117.18881340000007,117.18881340000007,117.18881340000007,space,0.556619299999511,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
duck,pato,mitiq,,,,,,,,,1,0,1,0,4,0,4,0,0,0,0,4,,,,,,,,,117.78591999999935,117.78591999999935,117.78591999999935,117.78591999999935,space,0.8430187000003571,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
thread,fio,ivalu,,,,,,,,,1,0,1,0,4,0,4,0,0,1,1,2,,,,,,,,,118.6692893999998,118.6692893999998,118.6692893999998,118.6692893999998,space,0.7739700000001903,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
dust,pó,apyuq,,,,,,,,,1,0,1,0,4,0,4,0,0,2,2,5,,,,,,,,,119.4860633999997,119.4860633999997,119.4860633999997,119.4860633999997,space,0.6095552000006137,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,4,0,4,0,0,3,3,0,,,,,,,,,120.13573269999961,120.13573269999961,120.13573269999961,120.13573269999961,space,0.5327138000002378,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
tea,chá,saiyu,,,,,,,,,1,0,1,0,4,0,4,0,0,4,4,3,,,,,,,,,120.68837689999964,120.68837689999964,120.68837689999964,120.68837689999964,space,0.4888077000005069,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,4,0,4,0,0,5,5,1,,,,,,,,,121.21901189999971,121.21901189999971,121.21901189999971,121.21901189999971,space,0.5766510000003109,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
duck,pato,mitiq,,,,,,,,,1,0,1,0,5,0,5,0,0,0,0,4,,,,,,,,,121.83575130000008,121.83575130000008,121.83575130000008,121.83575130000008,space,1.2506130000001576,,,,,001,2022-07-17_12h58.32.944,finley_et_al,2022.2.1,59.87955825642004,
