condition	palavra	math	math_resp	list_name	probe_item	item_condition	corr_ans	initial_instructions.thisRepN	initial_instructions.thisTrialN	initial_instructions.thisN	initial_instructions.thisIndex	list_choice.thisRepN	list_choice.thisTrialN	list_choice.thisN	list_choice.thisIndex	study_phase.thisRepN	study_phase.thisTrialN	study_phase.thisN	study_phase.thisIndex	distractor_trial_instructions.thisRepN	distractor_trial_instructions.thisTrialN	distractor_trial_instructions.thisN	distractor_trial_instructions.thisIndex	distractor_phase.thisRepN	distractor_phase.thisTrialN	distractor_phase.thisN	distractor_phase.thisIndex	test_trial_instructions.thisRepN	test_trial_instructions.thisTrialN	test_trial_instructions.thisN	test_trial_instructions.thisIndex	test_phase.thisRepN	test_phase.thisTrialN	test_phase.thisN	test_phase.thisIndex	instructions_msg.started	instructions_msg.stopped	spacebar_msg.started	spacebar_msg.stopped	word.started	word.stopped	math_trial.started	math_trial.stopped	math_trial_resp.keys	math_trial_resp.corr	math_trial_resp.started	math_trial_resp.stopped	fixation_cross.started	fixation_cross.stopped	general_instruction.started	general_instruction.stopped	test_trial_word.started	test_trial_word.stopped	test_trial_resp.keys	test_trial_resp.corr	test_trial_resp.rt	test_trial_resp.started	test_trial_resp.stopped	end.started	end.stopped	participant	session	date	expName	psychopyVersion	frameRate
carro	gasolina											0	9	9	4	0	14	14	14																					248.7686446	247.7974873																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
		12 × 18 = 216?	s																					0	0	0	71									369.4639953	None	369.4639953	None			370.2338135	None	None	0	370.2338135	None															1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				fruta	saudável	new	n																									0	0	0	42	448.8012736	None	448.8012736	None									450.2917145	451.2959946	451.262501	None	451.262501	None	n	1	3.617	451.262501	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				agulha	fina	old	s																									0	1	1	30													455.3972434	456.4010913	456.4010913	None	456.4010913	None	s	1	2.055	456.4010913	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				ladrão	roubo	new	n																									0	2	2	46													458.9958676	459.9998099	459.9998099	None	459.9998099	None	n	1	0.384	459.9998099	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				doce	doce	critical	n																									0	3	3	6													460.9204987	461.9246564	461.9246564	None	461.9246564	None	s	0	0.371	461.9246564	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				rei	rainha	old	s																									0	4	4	39													462.8620813	463.8662404	463.8662404	None	463.8662404	None	n	0	0.334	463.8662404	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				pão	fome	new	n																									0	5	5	49													464.7198367	465.7245881	465.7245881	None	465.7245881	None	s	0	0.311	465.7245881	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				aranha	veneno	old	s																									0	6	6	22													466.578129	467.5820323	467.5820323	None	467.5820323	None	n	0	0.298	467.5820323	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				alegria	sorriso	old	s																									0	7	7	11													468.4189362	469.4235049	469.4235049	None	469.4235049	None	s	1	0.272	469.4235049	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				montanha	beleza	old	s																									0	8	8	38													470.243239	471.2478899	471.2478899	None	471.2478899	None	n	0	0.240	471.2478899	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				montanha	montanha	critical	n																									0	9	9	8													472.0513412	473.0553375	473.0553375	None	473.0553375	None	s	0	0.264	473.0553375	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				dor	machucado	new	n																									0	10	10	45													473.8587731	474.8629582	474.8629582	None	474.8629582	None	s	0	0.281	474.8629582	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				aranha	inseto	old	s																									0	11	11	32													475.6833885	476.6874019	476.6874019	None	476.6874019	None	n	0	0.184	476.6874019	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				borracha	apagar	new	n																									0	12	12	56													477.4239297	478.428456	478.428456	None	478.428456	None	s	0	0.019	478.428456	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				cheirar	perfume	new	n																									0	13	13	50													478.9973812	480.0015827	480.0015827	None	480.0015827	None	n	1	0.278	480.0015827	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				pão	alimento	new	n																									0	14	14	48													480.838609	481.8430827	481.8430827	None	481.8430827	None	n	1	0.509	481.8430827	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				cadeira	mesa	old	s																									0	15	15	23													482.8969606	483.9016805	483.9016805	None	483.9016805	None	s	1	0.266	483.9016805	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				doce	açúcar	old	s																									0	16	16	16													484.7050662	485.7092738	485.7092738	None	485.7092738	None	s	1	0.482	485.7092738	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				carro	transporte	old	s																									0	17	17	14													486.7464286	487.7495946	487.7495946	None	487.7495946	None	s	1	6.586	487.7495946	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				aranha	aranha	critical	n																									0	18	18	2													494.880301	495.8857664	495.8857664	None	495.8857664	None	s	0	4.242	495.8857664	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				camisa	roupa	new	n																									0	19	19	54													500.6726067	501.6772624	501.6772624	None	501.6772624	None	n	1	0.955	501.6772624	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				cadeira	madeira	old	s																									0	20	20	33													503.1842034	504.187948	504.187948	None	504.187948	None	n	0	0.532	504.187948	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				montanha	natureza	old	s																									0	21	21	28													505.2415209	506.262183	506.2286771	None	506.2286771	None	n	0	0.611	506.2286771	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				doce	chocolate	old	s																									0	22	22	36													507.3835084	508.3879383	508.3879383	None	508.3879383	None	n	0	0.788	508.3879383	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				rei	rei	critical	n																									0	23	23	9													509.7114673	510.7159553	510.7159553	None	510.7159553	None	s	0	0.972	510.7159553	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				bandeira	pátria	new	n																									0	24	24	58													512.2215333	513.2252526	513.2252526	None	513.2252526	None	n	1	0.558	513.2252526	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				fumar	vício	new	n																									0	25	25	41													514.3131316	515.3183296	515.3183296	None	515.3183296	None	n	1	0.650	515.3183296	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				cidade	pessoas	new	n																									0	26	26	53													516.5058645	517.511241	517.511241	None	517.511241	None	n	1	1.384	517.511241	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				bandeira	símbolo	new	n																									0	27	27	59													519.4528299	520.4560656	520.4560656	None	520.4560656	None	n	1	0.487	520.4560656	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				cadeira	cadeira	critical	n																									0	28	28	3													521.4777105	522.4812451	522.4812451	None	522.4812451	None	n	1	1.870	522.4812451	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				devagar	parar	old	s																									0	29	29	35													524.8746872	525.8807073	525.8807073	None	525.8807073	None	n	0	0.735	525.8807073	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				cheirar	nariz	new	n																									0	30	30	51													527.1345058	528.1386382	528.1386382	None	528.1386382	None	n	1	0.917	528.1386382	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				fruta	maçã	new	n																									0	31	31	43													529.5949965	530.5993177	530.5993177	None	530.5993177	None	n	1	0.872	530.5993177	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				alegria	festa	old	s																									0	32	32	31													532.0226968	533.0273449	533.0273449	None	533.0273449	None	s	1	1.316	533.0273449	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				exército	armas	old	s																									0	33	33	27													534.8839882	535.8894919	535.8894919	None	535.8894919	None	n	0	0.486	535.8894919	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				aranha	teia	old	s																									0	34	34	12													536.8935826	537.897888	537.897888	None	537.897888	None	n	0	0.502	537.897888	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
				cadeira	sentar	old	s																									0	35	35	13													538.9178908	539.9222872	539.9222872	None	539.9222872	None	s	1	1.397	539.9222872	None				1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
