leftori,rightori,same,corrAns,angle,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt_1.started,instr_key_1.started,instr_key_1.keys,instr_key_1.rt,image_L_3.started,image_R_3.started,instr_txt_2.started,instr_key_2.started,mini_pause_2.started,mini_pause_2.stopped,image_L.started,image_R.started,response.started,main_instr.started,trial_count.started,response.keys,response.corr,response.rt,mini_pause.started,mini_pause.stopped,end_txt.started,end_key.started,session,participant,date,expName,psychopyVersion,frameRate,
0,225,n,n,225,0,9,9,10,,,,,,,,,,,33.666523400002916,33.666523400002916,33.666523400002916,33.666523400002916,33.666523400002916,n,1,0.8894346000015503,34.5746244999973,35.08056310000393,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,270,y,m,270,0,10,10,13,,,,,,,,,,,35.08056310000393,35.08056310000393,35.08056310000393,35.08056310000393,35.08056310000393,m,1,0.6506406999978935,35.75785110000288,36.264145400004054,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,180,n,n,180,0,11,11,8,,,,,,,,,,,36.264145400004054,36.264145400004054,36.264145400004054,36.264145400004054,36.264145400004054,n,1,0.7478068000054918,37.041148299998895,37.54642910000257,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,135,y,m,135,0,12,12,7,,,,,,,,,,,37.54642910000257,37.54642910000257,37.54642910000257,37.54642910000257,37.54642910000257,m,1,0.7131967000022996,38.291387700002815,38.79781329999969,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,0,y,m,0,0,13,13,1,,,,,,,,,,,38.79781329999969,38.79781329999969,38.79781329999969,38.79781329999969,38.79781329999969,m,1,0.4381915000049048,39.25786969999899,39.75761549999879,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,135,n,n,135,0,14,14,6,,,,,,,,,,,39.75761549999879,39.75761549999879,39.75761549999879,39.75761549999879,39.75761549999879,n,1,0.7019383000006201,40.49086730000272,40.9980859999996,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,180,y,m,180,0,15,15,9,,,,,,,,,,,40.9980859999996,40.9980859999996,40.9980859999996,40.9980859999996,40.9980859999996,m,1,0.6218529000034323,41.64092209999944,42.14649040000222,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,270,y,m,270,1,0,16,13,,,,,,,,,,,42.14649040000222,42.14649040000222,42.14649040000222,42.14649040000222,42.14649040000222,m,1,0.7135395000004792,42.891091500001494,43.39690829999745,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,0,n,n,0,1,1,17,0,,,,,,,,,,,43.39690829999745,43.39690829999745,43.39690829999745,43.39690829999745,43.39690829999745,n,1,0.582718500001647,44.007814399999916,44.510347000003094,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,135,y,m,135,1,2,18,7,,,,,,,,,,,44.510347000003094,44.510347000003094,44.510347000003094,44.510347000003094,44.510347000003094,m,1,0.5732709000003524,45.107381499998155,45.613778300001286,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,90,n,n,90,1,3,19,4,,,,,,,,,,,45.613778300001286,45.613778300001286,45.613778300001286,45.613778300001286,45.613778300001286,n,1,0.5817666000002646,46.22402180000063,46.73125080000318,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,225,y,m,225,1,4,20,11,,,,,,,,,,,46.73125080000318,46.73125080000318,46.73125080000318,46.73125080000318,46.73125080000318,m,1,0.5999928000019281,47.35724420000042,47.86423169999762,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,270,n,n,270,1,5,21,12,,,,,,,,,,,47.86423169999762,47.86423169999762,47.86423169999762,47.86423169999762,47.86423169999762,n,1,0.731235100007325,48.62394940000377,49.129177900002105,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,315,y,m,315,1,6,22,15,,,,,,,,,,,49.129177900002105,49.129177900002105,49.129177900002105,49.129177900002105,49.129177900002105,m,1,0.47495380000327714,49.62440880000213,50.13197360000049,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,45,y,m,45,1,7,23,3,,,,,,,,,,,50.13197360000049,50.13197360000049,50.13197360000049,50.13197360000049,50.13197360000049,m,1,0.5758318000007421,50.724335200000496,51.229740499999025,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,0,y,m,0,1,8,24,1,,,,,,,,,,,51.229740499999025,51.229740499999025,51.229740499999025,51.229740499999025,51.229740499999025,m,1,0.45378299999720184,51.70692840000265,52.213037699999404,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,180,n,n,180,1,9,25,8,,,,,,,,,,,52.213037699999404,52.213037699999404,52.213037699999404,52.213037699999404,52.213037699999404,n,1,0.8467547000036575,53.09022900000127,53.600818699997035,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,45,n,n,45,1,10,26,2,,,,,,,,,,,53.600818699997035,53.600818699997035,53.600818699997035,53.600818699997035,53.600818699997035,n,1,0.6033035000000382,54.22398979999707,54.72929970000405,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,90,y,m,90,1,11,27,5,,,,,,,,,,,54.72929970000405,54.72929970000405,54.72929970000405,54.72929970000405,54.72929970000405,m,1,0.5233446000056574,55.273624300003576,55.773779100003594,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,135,n,n,135,1,12,28,6,,,,,,,,,,,55.773779100003594,55.773779100003594,55.773779100003594,55.773779100003594,55.773779100003594,n,1,0.5985295999998925,56.3905728000027,56.896475000001374,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,180,y,m,180,1,13,29,9,,,,,,,,,,,56.896475000001374,56.896475000001374,56.896475000001374,56.896475000001374,56.896475000001374,m,1,0.523554300001706,57.44048579999799,57.94863710000209,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,315,n,n,315,1,14,30,14,,,,,,,,,,,57.94863710000209,57.94863710000209,57.94863710000209,57.94863710000209,57.94863710000209,n,1,0.624014699998952,58.59046269999817,59.09643689999939,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,225,n,n,225,1,15,31,10,,,,,,,,,,,59.09643689999939,59.09643689999939,59.09643689999939,59.09643689999939,59.09643689999939,n,1,0.6119440000038594,59.740146600001026,60.24026020000019,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,0,y,m,0,2,0,32,1,,,,,,,,,,,60.24026020000019,60.24026020000019,60.24026020000019,60.24026020000019,60.24026020000019,m,1,0.4604278999977396,60.723296399999526,61.230885600001784,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,315,y,m,315,2,1,33,15,,,,,,,,,,,61.230885600001784,61.230885600001784,61.230885600001784,61.230885600001784,61.230885600001784,m,1,0.5483671000038157,61.80666619999829,62.311638799998036,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,225,y,m,225,2,2,34,11,,,,,,,,,,,62.311638799998036,62.311638799998036,62.311638799998036,62.311638799998036,62.311638799998036,m,1,0.6127245000025141,62.95649479999702,63.46368330000405,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,45,n,n,45,2,3,35,2,,,,,,,,,,,63.46368330000405,63.46368330000405,63.46368330000405,63.46368330000405,63.46368330000405,n,1,0.5724642000059248,64.05653319999692,64.56196710000222,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,270,y,m,270,2,4,36,13,,,,,,,,,,,64.56196710000222,64.56196710000222,64.56196710000222,64.56196710000222,64.56196710000222,m,1,0.4973335999966366,65.09012030000304,65.59032760000264,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,90,y,m,90,2,5,37,5,,,,,,,,,,,65.59032760000264,65.59032760000264,65.59032760000264,65.59032760000264,65.59032760000264,m,1,0.596873599999526,66.20665810000355,66.70937799999956,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,135,y,m,135,2,6,38,7,,,,,,,,,,,66.70937799999956,66.70937799999956,66.70937799999956,66.70937799999956,66.70937799999956,m,1,0.7419709000023431,67.4733372999981,67.97534579999774,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,180,y,m,180,2,7,39,9,,,,,,,,,,,67.97534579999774,67.97534579999774,67.97534579999774,67.97534579999774,67.97534579999774,m,1,0.5571848999970825,68.55630850000307,69.06178879999788,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,0,n,n,0,2,8,40,0,,,,,,,,,,,69.06178879999788,69.06178879999788,69.06178879999788,69.06178879999788,69.06178879999788,m,0,0.5420635999980732,69.62272069999744,70.13223010000365,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,180,n,n,180,2,9,41,8,,,,,,,,,,,70.13223010000365,70.13223010000365,70.13223010000365,70.13223010000365,70.13223010000365,n,1,0.9430883000022732,71.10646300000371,71.61318700000265,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
0,135,n,n,135,2,10,42,6,,,,,,,,,,,71.61318700000265,71.61318700000265,71.61318700000265,71.61318700000265,71.61318700000265,n,1,0.6067911999998614,72.23953260000417,72.74631310000404,,,001,edu,2022-12-31_01h27.05.156,MentalRot,2022.2.1,59.94082641741135,
