English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,resp_practice.started,condition_name.started,Inupiaq_cue,current_condition,resp_practice,participant,session,date,expName,psychopyVersion,frameRate,
sled,trenó,uniat,0,0,0,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
kidney,rim,taqtu,0,0,0,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
boot,bota,kamik,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
dust,pó,apyuq,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
cliff,penhasco,ikpik,1,0,1,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
heaven,paraíso,qixak,1,0,1,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
snail,lesma,uvixu,1,0,1,0,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
tea,chá,saiyu,1,0,1,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
thread,fio,ivalu,1,0,1,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
rainbow,arco-íris,nigaq,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
mark,marca,aglak,1,0,1,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
duck,pato,mitiq,1,0,1,0,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
sled,trenó,uniat,1,0,1,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
kidney,rim,taqtu,1,0,1,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
boot,bota,kamik,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
dust,pó,apyuq,2,0,2,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
cliff,penhasco,ikpik,2,0,2,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
heaven,paraíso,qixak,2,0,2,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
snail,lesma,uvixu,2,0,2,0,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
tea,chá,saiyu,2,0,2,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
thread,fio,ivalu,2,0,2,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
rainbow,arco-íris,nigaq,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
mark,marca,aglak,2,0,2,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
duck,pato,mitiq,2,0,2,0,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
sled,trenó,uniat,2,0,2,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
kidney,rim,taqtu,2,0,2,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4,,,,,19.8482027,19.8482027,19.8482027,19.8482027,_ _ _ _ _,acumulação,lesma,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
tea,chá,saiyu,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,29.59655819999989,29.59655819999989,29.59655819999989,29.59655819999989,s a i y u,diminuição,saiyu,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
boot,bota,kamik,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,35.76441919999979,35.76441919999979,35.76441919999979,35.76441919999979,k a m i k,somente estudo,kamik,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
dust,pó,apyuq,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,37.51353400000062,37.51353400000062,37.51353400000062,37.51353400000062,_ _ _ _ _,acumulação,xxxxx,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
sled,trenó,uniat,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,43.48199399999976,43.48199399999976,43.48199399999976,43.48199399999976,u n i a t,somente estudo,uniat,,001,2022-07-26_10h39.13.803,finley_et_al,2022.2.1,60.09810414492296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,45.71418679999988,45.71418679999988,45.71418679999988,45.71418679999988,,,,,,,,,,
