English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,Inupiaq_cue,current_condition,key_practice.keys,key_practice.rt,participant,session,date,expName,psychopyVersion,frameRate,
mark,marca,aglak,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,2,,,,,64.63099579999971,64.63099579999971,64.63099579999971,64.63099579999971,_ _ _ _ _,acumulação,space,0.3170820000000276,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,65.03099179999981,65.03099179999981,65.03099179999981,65.03099179999981,u v i x _,diminuição,space,0.3101000000001477,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,1,,,,,65.40183559999969,65.40183559999969,65.40183559999969,65.40183559999969,k a m i k,somente estudo,space,0.17033570000057807,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,5,,,,,65.63079089999974,65.63079089999974,65.63079089999974,65.63079089999974,t a q _ u,diminuição,space,0.1409456000001228,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,4,,,,,65.83070469999984,65.83070469999984,65.83070469999984,65.83070469999984,u n i a t,somente estudo,space,0.10970670000051541,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,1,0,1,0,0,4,4,3,,,,,66.00024140000005,66.00024140000005,66.00024140000005,66.00024140000005,_ _ _ a _,acumulação,space,0.09952800000064599,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,1,0,1,0,0,5,5,2,,,,,66.16499669999985,66.16499669999985,66.16499669999985,66.16499669999985,_ _ l _ _,acumulação,space,0.07900590000053853,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,0,,,,,66.31941929999994,66.31941929999994,66.31941929999994,66.31941929999994,_ v i x _,diminuição,space,0.0764524999999594,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,2,0,2,0,0,1,1,1,,,,,66.45210419999967,66.45210419999967,66.45210419999967,66.45210419999967,k a m i k,somente estudo,space,0.0876405000003615,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,2,0,2,0,0,2,2,5,,,,,66.6207817999998,66.6207817999998,66.6207817999998,66.6207817999998,_ a q _ u,diminuição,space,0.03951230000029682,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,2,0,2,0,0,3,3,4,,,,,66.73745959999997,66.73745959999997,66.73745959999997,66.73745959999997,u n i a t,somente estudo,space,0.06686720000061541,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,2,0,2,0,0,4,4,3,,,,,66.87033429999974,66.87033429999974,66.87033429999974,66.87033429999974,_ i _ a _,acumulação,space,0.0774413000003733,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,2,0,2,0,0,5,5,2,,,,,67.00615979999975,67.00615979999975,67.00615979999975,67.00615979999975,_ g l _ _,acumulação,space,0.07791550000001735,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,3,0,3,0,0,0,0,0,,,,,67.15131229999997,67.15131229999997,67.15131229999997,67.15131229999997,_ v i _ _,diminuição,space,0.052974900000208436,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,3,0,3,0,0,1,1,1,,,,,67.25109810000004,67.25109810000004,67.25109810000004,67.25109810000004,k a m i k,somente estudo,space,0.09655680000059874,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,3,0,3,0,0,2,2,5,,,,,67.40457789999982,67.40457789999982,67.40457789999982,67.40457789999982,_ _ q _ u,diminuição,space,0.0877560000003541,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,3,0,3,0,0,3,3,4,,,,,67.58671579999964,67.58671579999964,67.58671579999964,67.58671579999964,u n i a t,somente estudo,space,0.04925790000015695,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,3,0,3,0,0,4,4,3,,,,,67.69710489999989,67.69710489999989,67.69710489999989,67.69710489999989,_ i x a _,acumulação,space,0.044329100000595645,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,3,0,3,0,0,5,5,2,,,,,67.80428149999989,67.80428149999989,67.80428149999989,67.80428149999989,_ g l a _,acumulação,space,0.09640490000037971,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,4,0,4,0,0,0,0,0,,,,,68.00379129999965,68.00379129999965,68.00379129999965,68.00379129999965,_ _ i _ _,diminuição,space,0.04038710000031642,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,4,0,4,0,0,1,1,1,,,,,68.09757969999964,68.09757969999964,68.09757969999964,68.09757969999964,k a m i k,somente estudo,space,0.0916309000003821,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,4,0,4,0,0,2,2,5,,,,,68.27185929999996,68.27185929999996,68.27185929999996,68.27185929999996,_ _ q _ _,diminuição,space,0.03639110000040091,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,4,0,4,0,0,3,3,4,,,,,68.38522429999966,68.38522429999966,68.38522429999966,68.38522429999966,u n i a t,somente estudo,space,0.07494150000047739,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,4,0,4,0,0,4,4,3,,,,,68.51867939999966,68.51867939999966,68.51867939999966,68.51867939999966,q i x a _,acumulação,space,0.06120710000004692,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,4,0,4,0,0,5,5,2,,,,,68.63077579999981,68.63077579999981,68.63077579999981,68.63077579999981,a g l a _,acumulação,space,0.10095230000024458,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,0,,,,,68.81818840000005,68.81818840000005,68.81818840000005,68.81818840000005,_ _ _ _ _,diminuição,space,0.03656140000020969,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,5,0,5,0,0,1,1,1,,,,,68.91922290000002,68.91922290000002,68.91922290000002,68.91922290000002,k a m i k,somente estudo,space,0.08067130000017642,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,5,0,5,0,0,2,2,5,,,,,69.06414799999993,69.06414799999993,69.06414799999993,69.06414799999993,_ _ _ _ _,diminuição,space,0.0917197000003398,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,5,0,5,0,0,3,3,4,,,,,69.23531819999971,69.23531819999971,69.23531819999971,69.23531819999971,u n i a t,somente estudo,space,0.06539270000030228,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,5,0,5,0,0,4,4,3,,,,,69.36717159999989,69.36717159999989,69.36717159999989,69.36717159999989,q i x a k,acumulação,space,0.08644630000026154,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,5,0,5,0,0,5,5,2,,,,,69.49725919999992,69.49725919999992,69.49725919999992,69.49725919999992,a g l a k,acumulação,space,0.10685880000028192,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,69.6972424999999,69.6972424999999,69.6972424999999,69.6972424999999,n i g a q,diminuição,space,0.07615080000050511,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,0,0,0,0,0,1,1,1,,,,,69.83059959999991,69.83059959999991,69.83059959999991,69.83059959999991,_ _ _ _ _,acumulação,space,0.0693837000003441,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,1,0,1,0,0,0,0,0,0,2,2,5,,,,,69.9856107999999,69.9856107999999,69.9856107999999,69.9856107999999,s a i y u,somente estudo,space,0.05920490000016798,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,1,0,1,0,0,0,0,0,0,3,3,4,,,,,70.09679669999969,70.09679669999969,70.09679669999969,70.09679669999969,a p y u q,diminuição,space,0.07583300000032978,,001,2022-07-26_10h24.13.631,finley_et_al,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,70.23049409999976,70.23049409999976,70.23049409999976,70.23049409999976,,,,,,,,,,,
