English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,participant,session,date,expName,psychopyVersion,frameRate,
rainbow,arco-íris,nigaq,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
cliff,penhasco,ikpik,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
dust,pó,apyuq,0,0,0,0,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
snail,lesma,uvixu,1,0,1,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
mark,marca,aglak,1,0,1,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
heaven,paraíso,qixak,1,0,1,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
boot,bota,kamik,1,0,1,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
kidney,rim,taqtu,1,0,1,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
duck,pato,mitiq,1,0,1,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
tea,chá,saiyu,1,0,1,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
thread,fio,ivalu,1,0,1,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
sled,trenó,uniat,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
rainbow,arco-íris,nigaq,1,0,1,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
cliff,penhasco,ikpik,1,0,1,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
dust,pó,apyuq,1,0,1,0,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
snail,lesma,uvixu,2,0,2,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
mark,marca,aglak,2,0,2,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
heaven,paraíso,qixak,2,0,2,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
boot,bota,kamik,2,0,2,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
kidney,rim,taqtu,2,0,2,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
duck,pato,mitiq,2,0,2,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
tea,chá,saiyu,2,0,2,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
thread,fio,ivalu,2,0,2,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
sled,trenó,uniat,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
rainbow,arco-íris,nigaq,2,0,2,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
cliff,penhasco,ikpik,2,0,2,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
dust,pó,apyuq,2,0,2,0,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4,,,,,18.217921499999647,18.217921499999647,18.217921499999647,18.217921499999647,space,1.3011956999998802,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,19.569051899999977,19.569051899999977,19.569051899999977,19.569051899999977,space,1.245645500000137,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
sled,trenó,uniat,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,20.852372800000012,20.852372800000012,20.852372800000012,20.852372800000012,space,2.850595500000054,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
duck,pato,mitiq,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,5,,,,,23.720917499999814,23.720917499999814,23.720917499999814,23.720917499999814,space,0.5582597000011447,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
thread,fio,ivalu,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,24.335378099999616,24.335378099999616,24.335378099999616,24.335378099999616,space,0.3520778000001883,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,3,,,,,24.751692599999842,24.751692599999842,24.751692599999842,24.751692599999842,space,0.6716295999995054,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,4,,,,,25.503214200000002,25.503214200000002,25.503214200000002,25.503214200000002,space,0.6232479999998759,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,0,,,,,26.168176899999708,26.168176899999708,26.168176899999708,26.168176899999708,space,0.38270439999996597,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
sled,trenó,uniat,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,2,,,,,26.584030600000006,26.584030600000006,26.584030600000006,26.584030600000006,space,3.943049499999688,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
duck,pato,mitiq,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,5,,,,,30.56851749999987,30.56851749999987,30.56851749999987,30.56851749999987,space,0.4392868000004455,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
thread,fio,ivalu,,,,,,,,,0,0,0,0,1,0,1,0,0,4,4,1,,,,,31.067892899999606,31.067892899999606,31.067892899999606,31.067892899999606,space,0.41936989999976504,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,1,0,1,0,0,5,5,3,,,,,31.534887199999503,31.534887199999503,31.534887199999503,31.534887199999503,space,0.9040580000000773,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,4,,,,,32.50220419999914,32.50220419999914,32.50220419999914,32.50220419999914,space,0.32139230000029784,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,2,0,2,0,0,1,1,0,,,,,32.885391799999525,32.885391799999525,32.885391799999525,32.885391799999525,space,0.47341839999990043,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
,,,,,,,,,,,,,,,,,,,,,,,,,,,33.41825279999921,33.41825279999921,33.41825279999921,33.41825279999921,,,,,,,,,
