English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,cue_final.started,target_final.started,key_final.started,participant,session,date,expName,psychopyVersion,frameRate,
mark,marca,aglak,0,0,0,0,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
thread,fio,ivalu,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
heaven,paraíso,qixak,1,0,1,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
sled,trenó,uniat,1,0,1,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
tea,chá,saiyu,1,0,1,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
boot,bota,kamik,1,0,1,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
rainbow,arco-íris,nigaq,1,0,1,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
duck,pato,mitiq,1,0,1,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
snail,lesma,uvixu,1,0,1,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
dust,pó,apyuq,1,0,1,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
cliff,penhasco,ikpik,1,0,1,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
kidney,rim,taqtu,1,0,1,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
mark,marca,aglak,1,0,1,0,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
thread,fio,ivalu,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
heaven,paraíso,qixak,2,0,2,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
sled,trenó,uniat,2,0,2,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
tea,chá,saiyu,2,0,2,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
boot,bota,kamik,2,0,2,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
rainbow,arco-íris,nigaq,2,0,2,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
duck,pato,mitiq,2,0,2,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
snail,lesma,uvixu,2,0,2,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
dust,pó,apyuq,2,0,2,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
cliff,penhasco,ikpik,2,0,2,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
kidney,rim,taqtu,2,0,2,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
mark,marca,aglak,2,0,2,0,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
thread,fio,ivalu,2,0,2,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
tea,chá,saiyu,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,33.39530710000054,33.39530710000054,33.39530710000054,33.39530710000054,space,11.569934600000124,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,,45.00604830000066,45.00604830000066,45.00604830000066,45.00604830000066,space,3.3746331999991526,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
duck,pato,mitiq,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,48.424202799999875,48.424202799999875,48.424202799999875,48.424202799999875,space,0.7568701999998666,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,49.23662330000025,49.23662330000025,49.23662330000025,49.23662330000025,space,1.3441408999997293,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
dust,pó,apyuq,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,50.62176470000031,50.62176470000031,50.62176470000031,50.62176470000031,space,1.7748730999992404,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,52.439254800000526,52.439254800000526,52.439254800000526,52.439254800000526,space,2.2539919999999256,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
tea,chá,saiyu,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,1,,,,,,,,,54.7388890000002,54.7388890000002,54.7388890000002,54.7388890000002,space,17.777792499999123,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,4,,,,,,,,,72.55556210000032,72.55556210000032,72.55556210000032,72.55556210000032,space,1.5777354999991076,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
duck,pato,mitiq,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,2,,,,,,,,,74.16838590000043,74.16838590000043,74.16838590000043,74.16838590000043,space,0.3970371999994313,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,0,,,,,,,,,74.60508949999985,74.60508949999985,74.60508949999985,74.60508949999985,space,0.4720956000001024,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
dust,pó,apyuq,,,,,,,,,0,0,0,0,1,0,1,0,0,4,4,3,,,,,,,,,75.12065520000033,75.12065520000033,75.12065520000033,75.12065520000033,space,0.7331475000000864,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,1,0,1,0,0,5,5,5,,,,,,,,,75.90215760000046,75.90215760000046,75.90215760000046,75.90215760000046,space,6.935173299999406,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
tea,chá,saiyu,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,1,,,,,,,,,82.8873908000005,82.8873908000005,82.8873908000005,82.8873908000005,space,8.35752069999944,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,2,0,2,0,0,1,1,4,,,,,,,,,91.2890025000006,91.2890025000006,91.2890025000006,91.2890025000006,space,0.5320032999998148,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
duck,pato,mitiq,,,,,,,,,0,0,0,0,2,0,2,0,0,2,2,2,,,,,,,,,91.85411720000047,91.85411720000047,91.85411720000047,91.85411720000047,space,0.4312084999992294,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,2,0,2,0,0,3,3,0,,,,,,,,,92.32326569999987,92.32326569999987,92.32326569999987,92.32326569999987,space,0.6900857999989967,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
dust,pó,apyuq,,,,,,,,,0,0,0,0,2,0,2,0,0,4,4,3,,,,,,,,,93.05614220000007,93.05614220000007,93.05614220000007,93.05614220000007,space,0.7324307999997473,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,2,0,2,0,0,5,5,5,,,,,,,,,93.82321240000056,93.82321240000056,93.82321240000056,93.82321240000056,space,5.205679699999564,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
tea,chá,saiyu,,,,,,,,,0,0,0,0,3,0,3,0,0,0,0,1,,,,,,,,,99.08967590000066,99.08967590000066,99.08967590000066,99.08967590000066,space,6.05168649999996,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,3,0,3,0,0,1,1,4,,,,,,,,,105.18881150000016,105.18881150000016,105.18881150000016,105.18881150000016,space,0.5521854999997231,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
duck,pato,mitiq,,,,,,,,,0,0,0,0,3,0,3,0,0,2,2,2,,,,,,,,,105.78912240000045,105.78912240000045,105.78912240000045,105.78912240000045,space,0.4161051999990377,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,3,0,3,0,0,3,3,0,,,,,,,,,106.26694150000003,106.26694150000003,106.26694150000003,106.26694150000003,space,0.6663211999994019,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
dust,pó,apyuq,,,,,,,,,0,0,0,0,3,0,3,0,0,4,4,3,,,,,,,,,106.96750510000038,106.96750510000038,106.96750510000038,106.96750510000038,space,1.2856914999993023,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,3,0,3,0,0,5,5,5,,,,,,,,,108.28768790000049,108.28768790000049,108.28768790000049,108.28768790000049,space,6.437265099999422,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
tea,chá,saiyu,,,,,,,,,0,0,0,0,4,0,4,0,0,0,0,1,,,,,,,,,114.78643879999981,114.78643879999981,114.78643879999981,114.78643879999981,space,4.3142596999996385,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,4,0,4,0,0,1,1,4,,,,,,,,,119.13377670000045,119.13377670000045,119.13377670000045,119.13377670000045,space,1.5115866999994978,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
duck,pato,mitiq,,,,,,,,,0,0,0,0,4,0,4,0,0,2,2,2,,,,,,,,,120.68626610000047,120.68626610000047,120.68626610000047,120.68626610000047,space,0.29558389999874635,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,4,0,4,0,0,3,3,0,,,,,,,,,121.01984260000063,121.01984260000063,121.01984260000063,121.01984260000063,space,0.37730759999885777,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
dust,pó,apyuq,,,,,,,,,0,0,0,0,4,0,4,0,0,4,4,3,,,,,,,,,121.43346199999996,121.43346199999996,121.43346199999996,121.43346199999996,space,0.4358777999996164,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,4,0,4,0,0,5,5,5,,,,,,,,,121.93347410000024,121.93347410000024,121.93347410000024,121.93347410000024,space,2.8800586999996085,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
tea,chá,saiyu,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,1,,,,,,,,,124.86628670000027,124.86628670000027,124.86628670000027,124.86628670000027,space,3.0187506999991456,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,5,0,5,0,0,1,1,4,,,,,,,,,127.92424730000039,127.92424730000039,127.92424730000039,127.92424730000039,space,0.4088507999995272,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
duck,pato,mitiq,,,,,,,,,0,0,0,0,5,0,5,0,0,2,2,2,,,,,,,,,128.3829771999999,128.3829771999999,128.3829771999999,128.3829771999999,space,0.36596859999917797,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,5,0,5,0,0,3,3,0,,,,,,,,,128.79938459999994,128.79938459999994,128.79938459999994,128.79938459999994,space,0.9580789999999979,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
dust,pó,apyuq,,,,,,,,,0,0,0,0,5,0,5,0,0,4,4,3,,,,,,,,,129.7859085,129.7859085,129.7859085,129.7859085,space,0.49874409999938507,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,5,0,5,0,0,5,5,5,,,,,,,,,130.31788910000068,130.31788910000068,130.31788910000068,130.31788910000068,space,1.2640468999989025,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
boot,bota,kamik,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,131.63575519999995,131.63575519999995,131.63575519999995,131.63575519999995,space,3.544876899999508,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
sled,trenó,uniat,,,,,,,,,1,0,1,0,0,0,0,0,0,1,1,4,,,,,,,,,135.21659160000036,135.21659160000036,135.21659160000036,135.21659160000036,space,0.7329346999995323,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,0,0,0,0,0,2,2,2,,,,,,,,,135.9997242999998,135.9997242999998,135.9997242999998,135.9997242999998,space,0.4532573999995293,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
mark,marca,aglak,,,,,,,,,1,0,1,0,0,0,0,0,0,3,3,0,,,,,,,,,136.48578570000063,136.48578570000063,136.48578570000063,136.48578570000063,space,0.46387229999891133,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,0,0,0,0,0,4,4,3,,,,,,,,,136.99911900000006,136.99911900000006,136.99911900000006,136.99911900000006,space,0.3419659999990472,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
thread,fio,ivalu,,,,,,,,,1,0,1,0,0,0,0,0,0,5,5,5,,,,,,,,,137.38948570000048,137.38948570000048,137.38948570000048,137.38948570000048,space,0.5445516999989195,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
boot,bota,kamik,,,,,,,,,1,0,1,0,1,0,1,0,0,0,0,1,,,,,,,,,137.98276280000027,137.98276280000027,137.98276280000027,137.98276280000027,space,6.82171869999911,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
sled,trenó,uniat,,,,,,,,,1,0,1,0,1,0,1,0,0,1,1,4,,,,,,,,,144.8486472000004,144.8486472000004,144.8486472000004,144.8486472000004,space,5.524554499999795,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,1,0,1,0,0,2,2,2,,,,,,,,,150.41977640000005,150.41977640000005,150.41977640000005,150.41977640000005,space,2.9368378999988636,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
mark,marca,aglak,,,,,,,,,1,0,1,0,1,0,1,0,0,3,3,0,,,,,,,,,153.38191610000013,153.38191610000013,153.38191610000013,153.38191610000013,space,0.559091899998748,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,1,0,1,0,0,4,4,3,,,,,,,,,153.9980698999998,153.9980698999998,153.9980698999998,153.9980698999998,space,1.6066251999991437,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
thread,fio,ivalu,,,,,,,,,1,0,1,0,1,0,1,0,0,5,5,5,,,,,,,,,155.6648194999998,155.6648194999998,155.6648194999998,155.6648194999998,space,7.380391999999119,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
boot,bota,kamik,,,,,,,,,1,0,1,0,2,0,2,0,0,0,0,1,,,,,,,,,163.08114819999992,163.08114819999992,163.08114819999992,163.08114819999992,space,4.075371599999016,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
sled,trenó,uniat,,,,,,,,,1,0,1,0,2,0,2,0,0,1,1,4,,,,,,,,,167.19999430000007,167.19999430000007,167.19999430000007,167.19999430000007,space,0.5339056999991953,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,2,0,2,0,0,2,2,2,,,,,,,,,167.76657800000066,167.76657800000066,167.76657800000066,167.76657800000066,space,0.9422572999992553,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
mark,marca,aglak,,,,,,,,,1,0,1,0,2,0,2,0,0,3,3,0,,,,,,,,,168.7554071000004,168.7554071000004,168.7554071000004,168.7554071000004,space,0.36131249999925785,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,2,0,2,0,0,4,4,3,,,,,,,,,169.16751850000037,169.16751850000037,169.16751850000037,169.16751850000037,space,0.3897458999999799,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
thread,fio,ivalu,,,,,,,,,1,0,1,0,2,0,2,0,0,5,5,5,,,,,,,,,169.61434139999983,169.61434139999983,169.61434139999983,169.61434139999983,space,3.622648899999149,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
boot,bota,kamik,,,,,,,,,1,0,1,0,3,0,3,0,0,0,0,1,,,,,,,,,173.2976649000002,173.2976649000002,173.2976649000002,173.2976649000002,space,4.388062499999251,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
sled,trenó,uniat,,,,,,,,,1,0,1,0,3,0,3,0,0,1,1,4,,,,,,,,,177.7269997000003,177.7269997000003,177.7269997000003,177.7269997000003,space,0.3898314999996728,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,3,0,3,0,0,2,2,2,,,,,,,,,178.16427019999992,178.16427019999992,178.16427019999992,178.16427019999992,space,0.5531711999992694,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
mark,marca,aglak,,,,,,,,,1,0,1,0,3,0,3,0,0,3,3,0,,,,,,,,,178.75566010000057,178.75566010000057,178.75566010000057,178.75566010000057,space,0.3689338999993197,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,3,0,3,0,0,4,4,3,,,,,,,,,179.16673870000068,179.16673870000068,179.16673870000068,179.16673870000068,space,0.4862247999999454,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
thread,fio,ivalu,,,,,,,,,1,0,1,0,3,0,3,0,0,5,5,5,,,,,,,,,179.6989919000007,179.6989919000007,179.6989919000007,179.6989919000007,space,3.843125599999439,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
boot,bota,kamik,,,,,,,,,1,0,1,0,4,0,4,0,0,0,0,1,,,,,,,,,183.59685830000035,183.59685830000035,183.59685830000035,183.59685830000035,space,2.888423899999907,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
sled,trenó,uniat,,,,,,,,,1,0,1,0,4,0,4,0,0,1,1,4,,,,,,,,,186.5285872000004,186.5285872000004,186.5285872000004,186.5285872000004,space,0.4376013999999486,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,4,0,4,0,0,2,2,2,,,,,,,,,186.99674700000014,186.99674700000014,186.99674700000014,186.99674700000014,space,0.4563025999996171,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
mark,marca,aglak,,,,,,,,,1,0,1,0,4,0,4,0,0,3,3,0,,,,,,,,,187.49954419999995,187.49954419999995,187.49954419999995,187.49954419999995,space,0.5611372999992454,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,4,0,4,0,0,4,4,3,,,,,,,,,188.09939339999983,188.09939339999983,188.09939339999983,188.09939339999983,space,0.6971981999986383,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
thread,fio,ivalu,,,,,,,,,1,0,1,0,4,0,4,0,0,5,5,5,,,,,,,,,188.8542311000001,188.8542311000001,188.8542311000001,188.8542311000001,space,7.175347200000033,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
boot,bota,kamik,,,,,,,,,1,0,1,0,5,0,5,0,0,0,0,1,,,,,,,,,196.07993119999992,196.07993119999992,196.07993119999992,196.07993119999992,space,4.4926936999991085,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
