English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,participant,session,date,expName,psychopyVersion,frameRate,
sled,trenó,uniat,0,0,0,0,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
rainbow,arco-íris,nigaq,0,0,0,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
mark,marca,aglak,0,0,0,0,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
cliff,penhasco,ikpik,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
kidney,rim,taqtu,1,0,1,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
boot,bota,kamik,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
heaven,paraíso,qixak,1,0,1,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
tea,chá,saiyu,1,0,1,0,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
duck,pato,mitiq,1,0,1,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
thread,fio,ivalu,1,0,1,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
dust,pó,apyuq,1,0,1,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
snail,lesma,uvixu,1,0,1,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
sled,trenó,uniat,1,0,1,0,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
rainbow,arco-íris,nigaq,1,0,1,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
mark,marca,aglak,1,0,1,0,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
cliff,penhasco,ikpik,2,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
kidney,rim,taqtu,2,0,2,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
boot,bota,kamik,2,0,2,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
heaven,paraíso,qixak,2,0,2,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
tea,chá,saiyu,2,0,2,0,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
duck,pato,mitiq,2,0,2,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
thread,fio,ivalu,2,0,2,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
dust,pó,apyuq,2,0,2,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
snail,lesma,uvixu,2,0,2,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
sled,trenó,uniat,2,0,2,0,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
rainbow,arco-íris,nigaq,2,0,2,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
mark,marca,aglak,2,0,2,0,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
tea,chá,saiyu,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,51.911783300000025,51.911783300000025,51.911783300000025,51.911783300000025,space,2.337830399998893,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
dust,pó,apyuq,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,4,,,,,54.29682110000067,54.29682110000067,54.29682110000067,54.29682110000067,space,4.343909799999892,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,58.696610599999985,58.696610599999985,58.696610599999985,58.696610599999985,space,0.617328099999213,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,59.34582529999989,59.34582529999989,59.34582529999989,59.34582529999989,space,0.28756239999984246,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
boot,bota,kamik,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,5,,,,,59.69536630000039,59.69536630000039,59.69536630000039,59.69536630000039,space,0.4093033999997715,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,0,,,,,60.14534690000073,60.14534690000073,60.14534690000073,60.14534690000073,space,0.5752239999992526,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
tea,chá,saiyu,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,1,,,,,60.77813680000054,60.77813680000054,60.77813680000054,60.77813680000054,space,0.3746811999999409,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
dust,pó,apyuq,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,4,,,,,61.19846720000078,61.19846720000078,61.19846720000078,61.19846720000078,space,5.73917689999962,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
kidney,rim,taqtu,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,2,,,,,66.99490740000056,66.99490740000056,66.99490740000056,66.99490740000056,space,0.5986038999999437,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,3,,,,,67.62846130000071,67.62846130000071,67.62846130000071,67.62846130000071,space,0.46985179999956017,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
boot,bota,kamik,,,,,,,,,0,0,0,0,1,0,1,0,0,4,4,5,,,,,68.14499299999989,68.14499299999989,68.14499299999989,68.14499299999989,space,0.41650769999887416,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,1,0,1,0,0,5,5,0,,,,,68.59561650000069,68.59561650000069,68.59561650000069,68.59561650000069,space,0.5090489999993224,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
tea,chá,saiyu,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,1,,,,,69.16131550000046,69.16131550000046,69.16131550000046,69.16131550000046,space,0.7281711999994513,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
dust,pó,apyuq,,,,,,,,,0,0,0,0,2,0,2,0,0,1,1,4,,,,,69.94522170000073,69.94522170000073,69.94522170000073,69.94522170000073,space,8.095396799999435,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
,,,,,,,,,,,,,,,,,,,,,,,,,,,78.09454760000062,78.09454760000062,78.09454760000062,78.09454760000062,,,,,,,,,
